,Compound,Date,Negative,Neutral,Positive,Tweet,User
181,0.0,2018-06-14 11:00:14,1.0,0.0,0.0,Stephen Bannon is betting that Bitcoin and other cryptocurrencies can disrupt banking the way President Trump disru… https://t.co/6EIr2wkySC,nytimes
182,0.6124,2018-06-14 11:00:18,0.597,0.138,0.264,"😍🐐 'Love is evil – it will make you fall in love with a goat.'

12 Russian proverbs to get you through the… https://t.co/UoHrrXNBIg",BBC
183,0.6124,2018-06-14 11:00:18,0.597,0.138,0.264,"😍🐐 'Love is evil – it will make you fall in love with a goat.'

12 Russian proverbs to get you through the… https://t.co/UoHrrXNBIg",BBC
184,0.0,2018-06-14 11:21:04,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/Dlbt6tUhqH https://t.co/xH8Bky2PMX,nytimes
185,-0.5574,2018-06-14 11:29:02,0.841,0.159,0.0,"""We learned of how whole families died huddled together in corridors, a mother found with her 6-month-old baby in t… https://t.co/YODYIoctZF",nytimes
186,0.0258,2018-06-14 11:45:10,0.773,0.111,0.116,"Stephen Colbert welcomed an odd couple on Wednesday: Michael Avenatti, the lawyer for Stephanie Clifford, and Antho… https://t.co/I3Avw7iUej",nytimes
187,-0.0516,2018-06-14 12:00:08,0.691,0.159,0.15,"Your daily @DealBook Briefing:

• Comcast and Disney are at war. Murdoch wins either way.

• WeWork wants more mone… https://t.co/OGbBmFd2rB",nytimes
188,0.4753,2018-06-14 12:01:05,0.808,0.0,0.192,❤️🐶 From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,BBC
189,0.4753,2018-06-14 12:01:05,0.808,0.0,0.192,❤️🐶 From stray dog to downward facing dog.... Amaloh is one lucky pooch! https://t.co/980DE0YdmS,BBC
190,-0.34,2018-06-14 12:11:30,0.902,0.098,0.0,"RT @BBCNews: Grenfell Tower, and 12 other London buildings, illuminated green to mark one year since the fire that claimed 72 lives 

A nat…",BBC
191,-0.34,2018-06-14 12:11:30,0.902,0.098,0.0,"RT @BBCNews: Grenfell Tower, and 12 other London buildings, illuminated green to mark one year since the fire that claimed 72 lives 

A nat…",BBC
192,-0.7849,2018-06-14 12:15:06,0.711,0.289,0.0,"""It's never a good look when Pakistan, where people are killed for blasphemy, is speaking approvingly of your laws,… https://t.co/8wFqvVTIZQ",nytimes
193,0.3774,2018-06-14 12:24:25,0.681,0.088,0.231,😂⚽️ There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th… https://t.co/T4RLt9VxUl,BBC
194,0.3774,2018-06-14 12:24:25,0.681,0.088,0.231,😂⚽️ There's no official England #WorldCup song so we're backing our friends at @CBeebiesHQ who want to make this th… https://t.co/T4RLt9VxUl,BBC
195,0.4215,2018-06-14 12:32:01,0.859,0.0,0.141,"A lawyer said a gatekeeper for Marvel Comics legend Stan Lee is ""a memorabilia collector who inserted himself into… https://t.co/txtTHS4ltO",nytimes
196,0.4939,2018-06-14 12:46:05,0.849,0.0,0.151,President Trump portrayed his agreement with Kim Jong-un as a signal achievement that meant that North Korea was no… https://t.co/TfZBFUuA4k,nytimes
197,0.0,2018-06-14 13:00:10,1.0,0.0,0.0,Morning Briefing: Here's what you need to know to start your day https://t.co/d1IaaDlhiJ https://t.co/25k6a60333,nytimes
198,0.541,2018-06-14 13:01:07,0.845,0.0,0.155,"""We gave him some food so hopefully he'll be back"": this fox climbed onto a London roof to sunbathe. 🦊😎… https://t.co/l9mI0SMSbA",BBC
199,0.541,2018-06-14 13:01:07,0.845,0.0,0.155,"""We gave him some food so hopefully he'll be back"": this fox climbed onto a London roof to sunbathe. 🦊😎… https://t.co/l9mI0SMSbA",BBC
200,-0.0258,2018-06-14 13:10:42,0.642,0.155,0.203,"RT @bbcthree: This is what painful sex feels like. #HearHer 

(you'll want sound on) https://t.co/NyMtT7wFK4",BBC
201,-0.0258,2018-06-14 13:10:42,0.642,0.155,0.203,"RT @bbcthree: This is what painful sex feels like. #HearHer 

(you'll want sound on) https://t.co/NyMtT7wFK4",BBC
202,-0.8689,2018-06-14 13:16:02,0.62,0.38,0.0,A 19-year-old man has been indicted on charges that he threatened to murder Bernie Sanders and Kamala Harris — and… https://t.co/1EstaDVc72,nytimes
203,-0.5106,2018-06-14 13:32:01,0.845,0.155,0.0,Michael Cohen will soon be parting from the lawyers who are representing him in a potentially damaging and wide-ran… https://t.co/Ghj2Hm0HcN,nytimes
204,0.5574,2018-06-14 13:46:05,0.847,0.0,0.153,"In school districts that are mostly rich, white and suburban, boys are much more likely to outperform girls in math… https://t.co/rQZHE7LEOO",nytimes
205,-0.5411,2018-06-14 14:00:09,0.857,0.143,0.0,"RT @monicadavey1: 12 minutes to O'hare?! Chicago's Mayor Rahm Emanuel says Elon Musk will change the endless, miserable ride to the airport…",nytimes
206,0.4927,2018-06-14 14:11:06,0.862,0.0,0.138,"""It is the most beneficial international situation for Russia right now since 2013, on the eve of the Olympics,"" sa… https://t.co/n7BkDXxERg",nytimes
207,0.6908,2018-06-14 14:19:03,0.737,0.0,0.263,"Mike Pompeo insisted that United Nations sanctions would remain in place until North Korea had accomplished ""comple… https://t.co/IsJQQQHot2",nytimes
208,0.0,2018-06-14 14:30:06,1.0,0.0,0.0,"In 2015, police officers in Austria found the decomposing bodies of 71 migrants who had been locked in a truck. On… https://t.co/aczKGQMUn6",nytimes
209,0.0,2018-06-14 14:52:53,1.0,0.0,0.0,It’s Russia vs. Saudi Arabia in the first game of the 2018 World Cup. Follow our live coverage for updates and anal… https://t.co/nk2U5wuOk2,nytimes
210,0.6808,2018-06-14 14:53:44,0.772,0.0,0.228,"Here's your guide to all 32 teams playing in the 2018 World Cup, from first-timer Panama to 4-time winner Germany https://t.co/bVWXVC0rXR",nytimes
211,-0.4215,2018-06-14 14:55:40,0.833,0.167,0.0,"Breaking News: New York is suing the Trump foundation, accusing it of vast lawbreaking. It wants to bar the preside… https://t.co/Wemz9W8y23",nytimes
